Bosnia_and_Herzegovina,32808190,3E-05,0,3E-05,0,0,0,6.1E-05,0,9.1E-05,3E-05,0,0,0,6.1E-05,6.1E-05,9.1E-05,6.1E-05,9.1E-05,0,3E-05,0.000122,6.1E-05,3E-05,0,0.000122,3E-05,0.000183,6.1E-05,9.1E-05,0.000122,0.000183,0.000152,0.000122,0.000244,0.000122,0.000213,3E-05,3E-05,0.000152,6.1E-05,3E-05,0.000122,6.1E-05,9.1E-05,3E-05,6.1E-05,6.1E-05,3E-05,3E-05,6.1E-05,6.1E-05,3E-05,3E-05,3E-05,9.1E-05,6.1E-05,3E-05,3E-05,0,6.1E-05,3E-05,3E-05,3E-05,3E-05,0.000122,0.000183,6.1E-05,0.000122,3E-05,9.1E-05,0,9.1E-05,0.000122,3E-05,3E-05,3E-05,0,0,6.1E-05,0,0,3E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,23516270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2125594170,0.000599,0.000598,0.000319,0.000247,0.000425,0.000473,0.000693,0.000635,0.000594,0.000293,0.000226,0.00045,0.000529,0.000544,0.000511,0.000489,0.00038,0.000307,0.000454,0.000471,0.000559,0.000412,0.000532,0.000346,0.000215,0.000329,0.000453,0.000357,0.000366,0.00038,0.000249,0.00022,0.000301,0.000389,0.000283,0.000306,0.000269,0.000149,0.000136,0.000164,0.000191,0.000232,0.000202,0.000226,0.000149,0.000108,0.000166,0.000175,0.0002,7.8E-05,7.2E-05,5.9E-05,5.1E-05,1E-04,0.000102,8.8E-05,9.6E-05,9.6E-05,4.9E-05,4.7E-05,3.2E-05,5E-05,6.2E-05,6.3E-05,5.7E-05,3.7E-05,1.9E-05,4E-05,1.6E-05,4E-05,1.8E-05,2E-05,1.1E-05,1.2E-05,9E-06,7E-06,8E-06,6E-06,6E-06,4E-06,5E-06,2E-06,2E-06,1E-06,1E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,4374790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,69484450,0,4.3E-05,5.8E-05,0,1.4E-05,0.000173,1.4E-05,2.9E-05,5.8E-05,0,1.4E-05,4.3E-05,2.9E-05,1.4E-05,4.3E-05,0,0,5.8E-05,1.4E-05,7.2E-05,5.8E-05,5.8E-05,2.9E-05,2.9E-05,4.3E-05,4.3E-05,4.3E-05,4.3E-05,1.4E-05,2.9E-05,2.9E-05,1.4E-05,5.8E-05,2.9E-05,0,5.8E-05,2.9E-05,7.2E-05,1.4E-05,5.8E-05,2.9E-05,2.9E-05,8.6E-05,0,2.9E-05,1.4E-05,1.4E-05,2.9E-05,4.3E-05,5.8E-05,2.9E-05,1.4E-05,1.4E-05,0,4.3E-05,2.9E-05,1.4E-05,4.3E-05,4.3E-05,1.4E-05,4.3E-05,1.4E-05,0,1.4E-05,1.4E-05,2.9E-05,4.3E-05,4.3E-05,5.8E-05,0,2.9E-05,0,0,1.4E-05,5.8E-05,0,0,0,0,0,0,0,0,1.4E-05,0,0,0,0,1.4E-05,0,0,1.4E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina_Faso,209032730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5E-06,0,0,0,0,0,0,5E-06,0,0,0,0,0,0,0,5E-06,5E-06,5E-06,0,0,0,0,1E-05,5E-06,5E-06,0,5E-06,0,5E-06,0,0,5E-06,0,0,1E-05,5E-06,0,1E-05,0,5E-06,1.4E-05,0,1E-05,1.4E-05,0,0,1.4E-05,0,5E-06,1.9E-05,5E-06,5E-06,5E-06,0,0,0,1E-05,1E-05,0,5E-06,1E-05,1E-05,1.4E-05,0,0,0,1E-05,5E-06,0,0,5E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,118907840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo_Verde,5559870,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,167189650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,265458630,0,0,0,0,2.6E-05,8E-06,1.1E-05,0,4E-06,3E-05,0,5.3E-05,8E-06,0,0,3.8E-05,0,2.3E-05,0,1.1E-05,3.8E-05,2.3E-05,0,0,0,0,4E-06,1.1E-05,4.1E-05,0,4.1E-05,2.3E-05,0,0,0,0.000166,0,0,0,1.1E-05,0,0,1.1E-05,0,8E-06,1.1E-05,3.8E-05,0,0,0,4E-06,0,7.5E-05,0,0,1.9E-05,1.1E-05,8E-06,0,0,0,8E-06,0,4E-06,0,0,0,4E-06,4E-06,4E-06,0,0,0,1.5E-05,0,4E-06,0,4E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
